group_id,store,name,price,url,volume
1,supermarket.am,Pork shoulder blade on a bone kg,2390.0,/en/products/_2300590/,
1,yerevan_city,Pork shoulder kg,2890.0,/shop/product-details/87172,
2,supermarket.am,Beef meat jerky kg,9990.0,/en/products/_2300742/,
3,supermarket.am,"Grilled vegetables ""Homeland"" 890g",960.0,/en/products/_1237662/,890g
3,yerevan_city,"Grilled vegetables ""Homeland"" 890g",1150.0,/shop/product-details/23046,890g
4,supermarket.am,"Green peas ""APG"" 720g",570.0,/en/products/goroshek-apg-g-st-banka-armeniya_546645/,720g
4,sas,"Green peas ""Coopoliva"" 720g",930.0,/en/catalog/goroshek/37049/,720g
5,supermarket.am,"Chips ""Pringles"" 165g Cheese",1060.0,/en/products/chipsy-pringles-cheese-g-ssha_353448/,165g
5,yerevan_city,"Chips ""Pringles"" cheese 165g",1290.0,/shop/product-details/14120,165g
5,sas,"Cheese chips ""Pringles"" 165g",1390.0,/en/catalog/chipsy/4738/,165g
6,supermarket.am,"Adjika ""Artfood"" 260g",520.0,/en/products/_1325723/,260g
6,sas,"Adjika ""Artfood"" 260g",590.0,/en/catalog/perets_ovoschnye_konservy/16113/,260g
6,yerevan_city,"Adjika ""Artfood"" 260g",510.0,/shop/product-details/5064,260g
7,supermarket.am,"Adjika ""Artfood"" 520g",760.0,/en/products/_1325728/,520g
7,sas,"Adjika ""Artfood"" 520g",890.0,/en/catalog/perets_ovoschnye_konservy/16115/,520g
7,yerevan_city,"Adjika ""Artfood"" 520g",740.0,/shop/product-details/18209,520g
8,supermarket.am,Beef meat soft without fat kg,6490.0,/en/products/_2300726/,
9,supermarket.am,"Nectar ""Dobriy"" 1l multifruit",800.0,/en/products/sok-dobryy-multifrut-l-tetrapak-rossiya_29322/,1000ml
9,yerevan_city,"Nectar ""Dobriy"" multifruit 1l",800.0,/shop/product-details/3783,1000ml
9,sas,"Nectar ""Granini"" 1l Multifruit",1990.0,/en/catalog/sok/228841/,1000ml
10,supermarket.am,"Pickled tomatoes ""Artfood"" 670g",590.0,/en/products/_1325720/,670g
11,supermarket.am,"Pickled cornichons ""Artfood"" 1500ml",1940.0,/en/products/karnishony-marinovannye-sm-artfood-ml-st-banka_220451/,1500ml
12,supermarket.am,"Baked eggplant and pepper ""Artfood"" 720ml",690.0,/en/products/ovoshchi-pechenye-artfood-ml-st-banka-armeniya_220678/,720ml
13,supermarket.am,Fresh chicken Lusakert kg,3135.0,/en/products/_2300724/,
13,sas,"Fresh chicken ""Lusakert""",2390.0,/en/catalog/kuritsa_tsyplenok/89562/,
